Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
US East (Ohio),Web server,Amazon EC2,0,382.42,4589.04,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t3.large)"
US East (Ohio),App server,Amazon EC2,0,280.8,3369.6,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.large)"
US East (Ohio),,Amazon RDS for PostgreSQL,0,2125.04,25500.48,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB per month), Nodes (1), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
US East (Ohio),,S3 Standard,0,23,276,USD,S3 Standard storage (1000 GB per month)
US East (Ohio),,Data Transfer,0,0,0,USD,
US East (Ohio),,Application Load Balancer,0,1768.43,21221.16,USD,Number of Application Load Balancers (1)
US East (Ohio),,Network Load Balancer,0,1330.43,15965.16,USD,"Number of Network Load Balancers (1), Average TCP connection duration ( seconds), Average number of new TCP connections (1000 per second), Processed bytes per NLB for TCP (200 GB per hour), Processed bytes per NLB for TLS (100 GB per hour)"
US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,37.35,448.2,USD,Number of NAT Gateways (1)
US East (Ohio),,Amazon RDS for PostgreSQL,0,2125.04,25500.48,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB per month), Nodes (1), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
US East (Ohio),,Amazon Route 53,0,938,11256,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
,,,,,,,
,,,,9010.51,,,
